Goodreads import: 539 eligible (≥4★, read, not on site). Birth year 1980. Limit 100.
+ Hunting Adeline (Cat and Mouse, #2) | dark-thriller | read 2026-04-30 (goodreads)
+ As You Like It | enemies-to-lovers | read 1996-05-15 (school-grade)
+ The Art of The Fellowship of the Ring (The Lord of | gothic-horror-romance | read null (pipeline)
+ Around the World in Eighty Days | dark-thriller | read 1994-05-15 (school-grade)
+ Anthesis | gothic-horror-romance | read null (pipeline)
+ Anna Karenina | forbidden-love | read 1998-05-15 (school-grade)
+ Angels & Demons (Robert Langdon, #1) | dark-thriller | read null (pipeline)
+ And Then There Were None | dark-thriller | read 1995-05-15 (school-grade)
+ Anathema (The Eating Woods, #1) | gothic-horror-romance | read null (pipeline)
+ The Amityville Horror | gothic-horror-romance | read 1996-05-15 (school-grade)
+ American Psycho | dark-thriller | read null (pipeline)
+ American Gods (American Gods, #1) | fantasy-romance | read null (pipeline)
+ Amadeus | dark-thriller | read 1996-05-15 (school-grade)
+ Along Came a Spider (Alex Cross, #1) | dark-thriller | read null (pipeline)
+ Allegiant (Divergent, #3) | dark-thriller | read null (pipeline)
+ All the King's Men | dark-thriller | read 1996-05-15 (school-grade)
+ All Quiet on the Western Front | dark-thriller | read 1996-05-15 (school-grade)
+ After Ever Happy (After, #4) | enemies-to-lovers | read null (pipeline)
+ After We Fell (After, #3) | enemies-to-lovers | read null (pipeline)
+ After We Collided (After, #2) | enemies-to-lovers | read null (pipeline)
+ After (After, #1) | enemies-to-lovers | read null (pipeline)
+ The Age of Innocence | forbidden-love | read 1996-05-15 (school-grade)
+ The Aeneid | gothic-horror-romance | read null (pipeline)
+ The Adventures of Tom Sawyer | dark-thriller | read 1993-05-15 (school-grade)
+ The 5th Wave (The 5th Wave, #1) | dark-thriller | read null (pipeline)
+ The Adweek Copywriting Handbook: The Ultimate Guid | dark-thriller | read null (pipeline)
+ 2001: A Space Odyssey (Space Odyssey, #1) | dark-thriller | read 1996-05-15 (school-grade)
+ 1984 | dark-thriller | read 1995-05-15 (school-grade)
+ Bitten (Women of the Otherworld, #1) | vampire-paranormal | read null (pipeline)
+ Needful Things | dark-thriller | read null (pipeline)
+ Christine | gothic-horror-romance | read null (pipeline)
+ My Best Friend's Exorcism | gothic-horror-romance | read null (pipeline)
+ Howl's Moving Castle (Howl's Moving Castle, #1) | fantasy-romance | read null (pipeline)
+ Wonka | gothic-horror-romance | read null (pipeline)
+ A Wrinkle in Time: The Graphic Novel | fantasy-romance | read null (pipeline)
+ The Science of Philip Pullman's His Dark Materials | gothic-horror-romance | read null (pipeline)
+ A Game of Thrones: The Graphic Novel, Volume One | fantasy-romance | read null (pipeline)
+ The Fellowship of the Ring (BBC Dramatization of T | fantasy-romance | read null (pipeline)
+ The Lord of the Rings: The Trilogy | fantasy-romance | read null (pipeline)
+ Ender's Game, Volume 1: Battle School (Ender's Sag | dark-thriller | read null (pipeline)
+ Hitchhiker's Guide To The Galaxy: The Filming of t | dark-thriller | read null (pipeline)
+ Fear and Loathing in Las Vegas and Other American  | dark-thriller | read 1998-05-15 (school-grade)
+ Clockwork Orange (ScreenPress Film Screenplays) | dark-thriller | read 1996-05-15 (school-grade)
+ The Secret Garden | gothic-horror-romance | read null (pipeline)
+ To Kill a Mockingbird: A Graphic Novel | dark-thriller | read null (pipeline)
+ Charlotte's Web/Stuart Little Slipcase Gift Set | gothic-horror-romance | read null (pipeline)
+ Pride and Prejudice | enemies-to-lovers | read 1996-05-15 (school-grade)
+ The Sense and Sensibility Screenplay and Diaries:  | dark-thriller | read null (pipeline)
+ Gone with the Wind, Part 2 of 2 | enemies-to-lovers | read 1996-05-15 (school-grade)
+ Jane Eyre - The Graphic Novel | gothic-horror-romance | read null (pipeline)
+ William Golding, Lord of the flies Penguin Study N | dark-thriller | read null (pipeline)
+ William Shakespeare's A Midsummer Night's Dream (S | gothic-horror-romance | read null (pipeline)
+ Charlotte's Web and Other Illustrated Classics | gothic-horror-romance | read null (pipeline)
+ Harper Lee's To Kill a Mockingbird | dark-thriller | read 1996-05-15 (school-grade)
+ The Client | dark-thriller | read null (pipeline)
+ Dan Brown Inferno (Robert Langdon) Unofficial Guid | dark-thriller | read null (pipeline)
+ The Godfather | dark-thriller | read 1996-05-15 (school-grade)

Imported 100 → manifest (written)
Report: /Users/jenthedev/Projects/mystic-bytes/scripts/readings/goodreads-import-report.json
Goodreads import: 438 eligible (≥4★, read, not on site). Birth year 1980. Limit 100.
+ Hunting Adeline (Cat and Mouse, #2) | dark-thriller | read 2026-04-30 (goodreads)
+ The Last Don | mafia-boss-and-innocent | read null (pipeline)
+ The Sicilian (The Godfather, #2) | mafia-boss-and-innocent | read null (pipeline)
+ Casino Royale (James Bond, #1) | dark-thriller | read 1996-05-15 (school-grade)
+ Casino | dark-thriller | read null (pipeline)
+ Black Mass | dark-thriller | read null (pipeline)
+ The Godfather (The Godfather, #1) | mafia-boss-and-innocent | read 1996-05-15 (school-grade)
+ Sherlock Holmes: Perunding Detektif Pertama Dunia | dark-thriller | read null (pipeline)
+ The Canterbury Tales | gothic-horror-romance | read 1996-05-15 (school-grade)
+ A Bear Called Paddington (Paddington, #1) | gothic-horror-romance | read 1996-05-15 (school-grade)
+ Pippi Longstocking (Pippi Långstrump, #1) | gothic-horror-romance | read 1996-05-15 (school-grade)
+ Dr. Seuss's How the Grinch Lost Christmas! (Classi | gothic-horror-romance | read null (pipeline)
+ The Lorax | gothic-horror-romance | read 1996-05-15 (school-grade)
+ Peter Pan (Peter Pan, #2) | gothic-horror-romance | read 1996-05-15 (school-grade)
+ Through the Looking-Glass and What Alice Found The | gothic-horror-romance | read 1996-05-15 (school-grade)
+ The Merry Adventures of Robin Hood | gothic-horror-romance | read 1996-05-15 (school-grade)
+ Mary Poppins (Mary Poppins, #1) | gothic-horror-romance | read 1996-05-15 (school-grade)
+ Oh, the Places You’ll Go! | gothic-horror-romance | read null (pipeline)
+ Call It Courage | gothic-horror-romance | read 1996-05-15 (school-grade)
+ Henry Huggins (Henry Huggins, #1) | dark-thriller | read 1996-05-15 (school-grade)
+ The Whipping Boy | dark-thriller | read null (pipeline)
+ Sarah, Plain and Tall (Sarah, Plain and Tall, #1) | gothic-horror-romance | read null (pipeline)
+ The Tale of Despereaux | gothic-horror-romance | read null (pipeline)
+ Shiloh (Shiloh, #1) | dark-thriller | read null (pipeline)
+ Because of Winn-Dixie | dark-thriller | read null (pipeline)
+ Bridge to Terabithia | dark-thriller | read 1996-05-15 (school-grade)
+ The Red Badge of Courage | dark-thriller | read 1996-05-15 (school-grade)
+ The Last of the Mohicans (The Leatherstocking Tale | gothic-horror-romance | read 1996-05-15 (school-grade)
+ Old Yeller | dark-thriller | read 1996-05-15 (school-grade)
+ The Jungle Book (Jungle Book, #1) | gothic-horror-romance | read 1996-05-15 (school-grade)
+ Black Beauty | gothic-horror-romance | read 1996-05-15 (school-grade)
+ The Prince and the Pauper | gothic-horror-romance | read 1993-05-15 (school-grade)
+ White Fang | gothic-horror-romance | read 1996-05-15 (school-grade)
+ The Daughter of Doctor Moreau | gothic-horror-romance | read null (pipeline)
+ Twenty Thousand Leagues Under the Sea | gothic-horror-romance | read 1994-05-15 (school-grade)
+ The Fall of the House of Usher | gothic-horror-romance | read 1996-05-15 (school-grade)
+ The Invisible Man | gothic-horror-romance | read 1996-05-15 (school-grade)
+ The Island of Dr. Moreau | gothic-horror-romance | read 1996-05-15 (school-grade)
+ The Tell-Tale Heart | gothic-horror-romance | read 1996-05-15 (school-grade)
+ The Man in the Iron Mask (Le vicomte de Bragelonne | dark-thriller | read 1996-05-15 (school-grade)
+ The Call of Cthulhu | gothic-horror-romance | read 1996-05-15 (school-grade)
+ The Legend of Sleepy Hollow | gothic-horror-romance | read 1996-05-15 (school-grade)
+ The Woman in Black | gothic-horror-romance | read null (pipeline)
+ We Have Always Lived in the Castle | gothic-horror-romance | read 1996-05-15 (school-grade)
+ The Turn of the Screw | gothic-horror-romance | read 1996-05-15 (school-grade)
+ The Strange Case of Dr. Jekyll and Mr. Hyde and Ot | gothic-horror-romance | read 1996-05-15 (school-grade)
+ David Copperfield | dark-thriller | read 1996-05-15 (school-grade)
+ The Phantom of the Opera | gothic-horror-romance | read 1996-05-15 (school-grade)
+ Don Quixote | gothic-horror-romance | read 1996-05-15 (school-grade)
+ War and Peace | dark-thriller | read 1998-05-15 (school-grade)
+ The Handmaid's Tale | dark-thriller | read null (pipeline)
+ The Outsiders | dark-thriller | read 1994-05-15 (school-grade)
+ I Am Number Four (Lorien Legacies, #1) | fantasy-romance | read null (pipeline)
+ Uglies (Uglies, #1) | dark-thriller | read null (pipeline)
+ The Maze Runner (The Maze Runner, #1) | dark-thriller | read null (pipeline)
+ Ready Player One (Ready Player One, #1) | dark-thriller | read null (pipeline)
+ The Joy Luck Club | dark-thriller | read null (pipeline)
+ The Goldfinch | dark-thriller | read null (pipeline)
+ The Thursday Murder Club (Thursday Murder Club, #1 | dark-thriller | read null (pipeline)
+ Outlander (Outlander, #1) | forbidden-love | read null (pipeline)
+ Heaven is for Real: A Little Boy's Astounding Stor | dark-thriller | read null (pipeline)
+ Who Moved My Cheese? | dark-thriller | read null (pipeline)
+ The Secret (The Secret, #1) | dark-thriller | read null (pipeline)
+ The Subtle Art of Not Giving a F*ck: A Counterintu | dark-thriller | read null (pipeline)
+ Gone Girl | dark-thriller | read null (pipeline)
+ Where the Crawdads Sing | dark-thriller | read null (pipeline)
+ Eat, Pray, Love | dark-thriller | read null (pipeline)
+ Insurgent (Divergent, #2) | dark-thriller | read null (pipeline)
+ Harry Potter and the Order of the Phoenix (Harry P | gothic-horror-romance | read null (pipeline)
+ Harry Potter and the Deathly Hallows (Harry Potter | fantasy-romance | read null (pipeline)
+ Harry Potter and the Goblet of Fire (Harry Potter, | fantasy-romance | read null (pipeline)
+ Harry Potter and the Chamber of Secrets (Harry Pot | gothic-horror-romance | read null (pipeline)
+ Harry Potter and the Prisoner of Azkaban (Harry Po | fantasy-romance | read null (pipeline)
+ The Death Cure (The Maze Runner, #3) | dark-thriller | read null (pipeline)
+ The Scorch Trials (The Maze Runner, #2) | dark-thriller | read null (pipeline)
+ Four: A Divergent Story Collection (Divergent, #0. | gothic-horror-romance | read null (pipeline)
+ Midnight Sun (The Twilight Saga, #5) | vampire-paranormal | read null (pipeline)
+ Inside Divergent: The Initiate's World | dark-thriller | read null (pipeline)
+ It Starts with Us (It Ends with Us, #2) | enemies-to-lovers | read null (pipeline)
+ It Ends with Us (It Ends with Us, #1) | dark-thriller | read null (pipeline)
+ Before (After, #5) | enemies-to-lovers | read null (pipeline)
+ Fifty Shades Trilogy (Fifty Shades, #1-3) | dark-billionaire | read null (pipeline)
+ Grey: Fifty Shades of Grey as Told by Christian. S | dark-billionaire | read null (pipeline)
+ Letters to Juliet: Celebrating Shakespeare's Great | forbidden-love | read null (pipeline)
+ The Notebook / The Wedding | forbidden-love | read null (pipeline)
+ New Moon: The Complete Illustrated Movie Companion | vampire-paranormal | read null (pipeline)
+ Safe Haven | forbidden-love | read null (pipeline)
+ Dear John (screenplay) | forbidden-love | read null (pipeline)
+ Fifty Shades Freed (Fifty Shades, #3) | dark-billionaire | read null (pipeline)
+ Fifty Shades Darker (Fifty Shades, #2) | dark-billionaire | read null (pipeline)
+ A Walk to Remember | forbidden-love | read null (pipeline)
+ The Devil Wears Prada (The Devil Wears Prada, #1) | enemies-to-lovers | read null (pipeline)
+ The Lovely Bones | gothic-horror-romance | read null (pipeline)
+ The Sisterhood of the Traveling Pants (Sisterhood, | dark-thriller | read null (pipeline)
+ You (You, #1) | stalker-obsession | read null (pipeline)
+ The Housemaid is Watching (The Housemaid, #3) | dark-thriller | read null (pipeline)
+ Local Woman Missing | dark-thriller | read null (pipeline)
+ The Widow | dark-thriller | read null (pipeline)
+ We Used to Live Here | gothic-horror-romance | read null (pipeline)
+ Final Girls | dark-thriller | read null (pipeline)

Imported 100 → manifest (written)
Report: /Users/jenthedev/Projects/mystic-bytes/scripts/readings/goodreads-import-report.json
